Generation,evals,avg,std,min,max,best_one,fitness_best_one
41,676,[   8.         1544.14129775],[0.         2.25244252],[   8.         1539.41460982],[   8.         1545.84746333],"[14, 23, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 8, 7, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1539.414609823621)"
42,656,[   8.         1542.33774127],[0.         2.18931223],[   8.         1538.61314497],[   8.        1545.2629711],"[14, 23, 25, 5, 6, 9, 10, 3, 2, 24, 19, 13, 8, 7, 4, 21, 22, 11, 1, 20, 15, 18, 17, 16, 12]","(8.0, 1538.6131449656318)"
43,702,[   8.         1540.27765399],[0.         0.93396081],[   8.         1536.98861513],[   8.         1542.99068079],"[14, 23, 25, 5, 6, 9, 20, 3, 2, 24, 19, 11, 8, 7, 4, 21, 22, 10, 1, 13, 16, 18, 17, 15, 12]","(8.0, 1536.9886151263863)"
44,668,[   8.         1539.71575516],[0.         0.46643672],[   8.         1534.63516531],[   8.        1539.9038675],"[14, 23, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1534.6351653126694)"
45,692,[   8.         1539.46562657],[0.         0.72404497],[   8.        1533.3890152],[   8.        1539.9038675],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1533.38901520226)"
46,670,[   8.         1539.00756466],[0.         0.95301454],[   8.        1533.3890152],[   8.         1539.82557419],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1533.38901520226)"
47,712,[   8.         1538.50900725],[0.         1.24929511],[   8.        1533.3890152],[   8.         1539.41460982],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1533.38901520226)"
48,676,[   8.         1537.49843599],[0.         1.26672739],[   8.        1533.3890152],[   8.         1539.28634454],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1533.38901520226)"
49,670,[   8.         1536.47659174],[0.         1.05768107],[   8.        1533.3890152],[   8.         1537.43945619],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1533.38901520226)"
50,694,[   8.         1535.71778094],[0.         1.08541572],[   8.         1531.25446181],[   8.         1536.98861513],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1531.2544618084557)"
51,650,[   8.         1534.76290692],[0.         0.80377307],[   8.         1531.25446181],[   8.         1536.31953704],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 18, 17, 16, 12]","(8.0, 1531.2544618084557)"
52,690,[   8.       1534.193989],[0.         0.65767452],[   8.         1529.35004095],[   8.         1534.63516531],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1529.3500409531473)"
53,674,[   8.         1533.72627525],[0.         0.71401225],[   8.         1529.35004095],[   8.         1534.63516531],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1529.3500409531473)"
54,662,[   8.         1533.22397537],[0.         0.63004027],[   8.         1529.35004095],[   8.        1533.3890152],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1529.3500409531473)"
55,690,[   8.         1533.02823103],[0.         0.90228213],[   8.         1529.35004095],[   8.        1533.3890152],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1529.3500409531473)"
56,688,[   8.         1532.63997034],[0.         1.17952442],[   8.         1528.33920943],[   8.        1533.3890152],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 12, 17, 16, 18]","(8.0, 1528.3392094342569)"
57,704,[   8.         1531.85819469],[0.         1.29400355],[   8.         1528.33920943],[   8.        1533.3890152],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 15, 12, 17, 16, 18]","(8.0, 1528.3392094342569)"
58,676,[   8.         1530.72323437],[0.         0.82692851],[   8.         1527.21548756],[   8.         1531.38079453],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1527.215487559343)"
59,688,[   8.         1530.16854711],[0.         0.93519594],[   8.         1525.96933745],[   8.         1531.25446181],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1525.9693374489336)"
60,696,[   8.         1529.33469538],[0.         0.47310971],[   8.         1525.96933745],[   8.        1530.0083117],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1525.9693374489336)"
61,662,[   8.         1529.09283997],[0.         0.65050543],[   8.         1525.96933745],[   8.         1529.35004095],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1525.9693374489336)"
62,698,[   8.         1528.76451963],[0.         0.89993529],[   8.         1525.96933745],[   8.         1529.35004095],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1525.9693374489336)"
63,670,[   8.         1528.10475501],[0.         0.96088332],[   8.         1525.96933745],[   8.         1529.35004095],"[23, 14, 25, 5, 6, 9, 3, 4, 2, 24, 19, 13, 7, 8, 11, 21, 22, 20, 1, 10, 16, 18, 17, 15, 12]","(8.0, 1525.9693374489336)"
64,670,[   8.         1527.43601882],[0.       0.899445],[   8.         1525.90088937],[   8.         1528.33920943],"[23, 14, 25, 5, 6, 9, 4, 3, 2, 24, 19, 13, 7, 8, 11, 20, 22, 21, 1, 10, 12, 18, 17, 15, 16]","(8.0, 1525.900889369016)"
65,678,[   8.         1526.70782742],[0.         0.62336654],[   8.         1525.20910329],[   8.         1527.34182028],"[14, 23, 25, 5, 6, 9, 3, 4, 2, 24, 19, 17, 7, 8, 11, 20, 22, 21, 1, 10, 15, 12, 13, 16, 18]","(8.0, 1525.209103293244)"
